row,col,has_package,UP,DOWN,LEFT,RIGHT
10,9,False,-4.24539,0.0,-4.24539,0.0
10,9,True,36.7268,0.0,96.43863,0.0
10,11,False,-2.95,-2.85,0.0,0.0
10,11,True,37.67688,84.9187,0.0,0.0
10,13,False,-4.25112,0.0,0.0,-2.75
10,13,True,-8.62804,0.0,0.0,-7.61972
10,14,False,-2.8,0.0,-2.8,0.0
10,14,True,-5.76154,0.0,-8.38334,0.0
10,16,False,-1.1774,3.38415,0.0,2.40052
10,16,True,-4.74625,-6.42508,0.0,-6.55206
10,17,False,-3.88325,2.93549,-0.23776,0.98049
10,17,True,-6.56769,-5.31072,-3.791,-4.63364
10,18,False,0.0,2.37042,-1.02653,-0.89069
10,18,True,0.0,-5.07532,-2.44965,-2.58481
10,19,False,-1.85311,-3.02676,-1.20965,0.0
10,19,True,-2.42107,-0.99781,-0.03487,0.0
10,21,False,25.71471,0.0,0.0,35.76447
10,21,True,-4.2679,0.0,0.0,-2.78902
10,22,False,31.33477,36.22353,31.3034,30.4967
10,22,True,-2.57139,-1.64164,-0.90029,-3.61201
10,23,False,26.44942,0.0,31.77455,0.0
10,23,True,-3.13797,0.0,-0.22643,0.0
10,26,False,-0.81505,0.528,0.0,1.92621
10,26,True,-2.36359,-1.1,0.0,-1.2
